     1→     1→--- Page 1 ---
   321→   321→C leituradeumtextodereferênciasobretecnologiaspropostapeloprofessor,seguidadeumaavaliação.
   322→   322→D umaaulagamificadacomseusdispositivosmóveisplanejadapelosestudantes,seguidadasocializaçãodosresultados.
   323→   323→QUESTÃO16
   324→   324→AEducaçãodoCampoemergedadiscussãodediálogoscommovimentossociaiseemdiferenteseventos,comoasConferências
   325→   325→NacionaisporumaEducaçãoBásicadoCampo.Normativasforampromulgadas,taiscomoaResoluçãoCEB/CNEn.1/2002,
   326→   326→queinstituiDiretrizesOperacionaisparaaEducaçãoBásicanasEscolasdoCampo,emproldeumprojetoquecontinuea“lutapara
   327→   327→queossistemasdeensinodiscutamumcurrículoparaaárearuralequeaformaçãodeprofessores,inicial,continuadaouem
   328→   328→serviço,nãoreproduzaocurrículodaáreaurbananarural”.
   329→   329→ALENCAR,M.F.S.EducaçãodoCampoeaformaçãodeprofessores:construçãodeumapolítica
   330→   330→educacionalparaocampobrasileiro.Ci.&Tróp.,n.2,2010(adaptado).
   331→   331→Nessecontexto,aformaçãodoprofessorparaaEducaçãodoCampotemcomoprincípio
   332→   332→A subordinaracultura,asmemóriasealutadopovodocampoàhistóriaurbana.
   333→   333→B identificarosconhecimentosdascomunidadesdocampo,quecontrariamocurrículoinstituído.
   334→   334→C vincularoensinoaotrabalhoedesconsiderarossaberesproduzidosnocontextoescolarurbano.
   335→   335→D reconhecerocampocomolugardevidaedeproduçãoquesofreucomumprojetodedesenvolvimentoexploratório.
   336→   336→QUESTÃO17
   337→   337→AHistóriadaEducaçãonoBrasilpodeserorganizadaemperíodoscomcaracterísticasespecíficasdeparadigmaseducacionais
   338→   338→decadaépoca,aexemplodaEscolaNova(décadasde1920-1930),cujaspráticaspedagógicas
   339→   339→A tinhamumavisãofilosóficaessencialistadesujeitoeumaperspectivadidáticacentradanoprofessor.
   340→   340→B partiamdopressupostodaneutralidadecientífica,inspiradasnosprincípiosdaracionalidadeedaeficiência.
   341→   341→C promoviamoaprendizadodoportuguêsparaosindígenaseseguiamancoradasnadoutrinacristã.
   342→   342→D centralizavamaeducaçãonasvivências,nasestratégiasdeensinoenointeressedoestudante.
   343→   343→Árealivre
   344→   344→PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PMD2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025
   345→   345→10 FORMAÇÃOGERALDOCENTE
   346→   346→R02032025 - CIENCIAS_BIOLOGICAS.indb 10 21/08/2025 17:49:47
   347→   347→
   348→   348→--- Page 10 ---
   349→   349→2025
   350→   350→*R0203202511*
   351→   351→QUESTÃO18
   352→   352→ComaintençãodevalorizarapresençadeestudantesindígenasemumaturmadoEnsinoMédio,umaprofessoradeFilosofia
   353→   353→apresentouopensamentodoescritorindígenaDanielMunduruku:“umcaçadoraprendecomumcaçadormaisexperiente;
   354→   354→umjovemaprendesuaartenamedidaemqueécapazdereproduziraartedosmaisvelhos”.Essaideiaabordadiferentes
   355→   355→formasdetransmissãodeconhecimentopormeiodaoralidadeedaexperiênciacotidiana.
   356→   356→Pensandonisso,aprofessoraorganizouumapropostapedagógicaenvolvendoahistóriadevidadosestudantesesuas
   357→   357→experiênciascomfoconousodamandioca(aipimoumacaxeira),daqualsefaz,porexemplo,atapioca–umalimentoancestral
   358→   358→bastanteconsumidoatualmente.Paraisso,buscou-seamemóriasocialdasfamíliaspormeiodeentrevistasinformaissobre
   359→   359→osconhecimentosdeplantio,decolheitaedepreparodamandiocaatéoseuconsumonacomunidade,afimdeintegrar
   360→   360→conhecimentosancestraisaocurrículoescolar.
   361→   361→Assinaleaalternativaqueapresentaumapropostapedagógicaquefomenteacooperaçãoentreescola,famíliaecomunidade
   362→   362→emrelaçãoàspopulaçõesindígenas.
   363→   363→A Elaborarumestudodecasoqueexemplifiqueousoatualdatapiocanacomunidadeurbanacomoformadevalidaras
   364→   364→práticasagrícolascontemporâneas.
   365→   365→B Apresentarvídeosgravadoscomaparticipaçãodacomunidadeescolar,registrandotécnicasancestraisecontemporâneas
   366→   366→desefazertapioca.
   367→   367→C Construirummuralescolarcomdepoimentosdenutricionistasquesugeremoconsumodatapiocanasdietas.
   368→   368→D Transcreverasfalasdosentrevistadossobreaspráticasancestraisagrícolasparaanálisenasaulas.
   369→   369→QUESTÃO19
   370→   370→Umaprofessora,diantedaexistênciadeumaterronoentornodaescola,decidiuabordarotemadasustentabilidadeedodescarte
   371→   371→conscientecomseusestudantes.Paraisso,solicitouqueeleselaborassemumprojeto,eaturmasugeriuasseguintesações:
   372→   372→• convidartrabalhadoresdecoletaseletivaeparticipantesdemovimentossociaisdepreservaçãodomeioambientepara
   373→   373→umarodadeconversa;
   374→   374→• realizarumaaçãocomosfamiliaresparaaprenderemtécnicasdelimpezaeseparaçãodematerialreciclável;
   375→   375→• conduzirumadinâmicacoletivaemqueosestudantestroquemmateriaisdescartadosporbrindesvariados.
   376→   376→EmumaperspectivacríticadaEducaçãoAmbiental,asaçõespropostaspelosestudantes
   377→   377→A normalizamoconsumoeoacúmulodebenscomoorigemdaproduçãodosresíduos.
   378→   378→B proporcionamumamudançacomportamentalemrelaçãoaodescartedosresíduos.
   379→   379→C prejudicamotrabalhodoscatadoresquetêmacoletadosresíduoscomofontederenda.
   380→   380→D preservamoambienteaodeslocarosresíduosdoentornoescolarparaoutraárea.
   381→   381→Árealivre
   382→   382→PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PMD2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025
   383→   383→FORMAÇÃOGERALDOCENTE 11
   384→   384→R02032025 - CIENCIAS_BIOLOGICAS.indb 11 21/08/2025 17:49:47
   385→   385→
   386→   386→--- Page 11 ---
   387→   387→2025
   388→   388→*R0203202512*
   389→   389→Textoparaquestões20e21
   390→   390→CombasenosprincípiosdaPedagogiadeProjetoseemarticulaçãocomosObjetivosdeDesenvolvimentoSustentável(ODS),
   391→   391→especialmenteoODS12,quetratadaproduçãoedoconsumoresponsáveis,osprofessoresdeumaescolapúblicadeEnsino
   392→   392→Fundamentaldesenvolveramumprojetointerdisciplinarcomointuitodepromoveraçõeseducativassobreoreaproveitamento
   393→   393→deresíduosorgânicosnaescola.Ainiciativaincluiuodesenvolvimentodeatividadesdeseparaçãoedeaproveitamentode
   394→   394→resíduosdaalimentaçãoescolar,bemcomoamontagemdecomposteirasartesanaisparaaproduçãoeousodeaduboem
   395→   395→jardinsehortasdaescola.
   396→   396→QUESTÃO20
   397→   397→Combasenasituaçãodescrita,aaçãoeducativaqueintervémconcretamentenocontextoescolaré
   398→   398→A realizarumlevantamentosobreodesperdícionaalimentaçãoescolaredivulgá-loemumeventocientífico.
   399→   399→B mapearoslocaisdedescartedealimentoseelaborarumaredaçãosobreousodosresíduosgerados.
   400→   400→C pesquisarousodeadubosorgânicoseanalisardadosestatísticossobreosbenefíciosdacompostagem.
   401→   401→D organizarumaoficinaparaoreaproveitamentodealimentoseacompanharasmudançascomportamentaisnaescola.
   402→   402→QUESTÃO21
   403→   403→Combasenoprojetodesenvolvido,aalternativaque,sobumaperspectivacrítica,apresentaarelaçãocoerenteentreo
   404→   404→procedimentometodológicoeaavaliaçãodaaprendizagemsobreoconsumoresponsáveldealimentoséum(a)
   405→   405→A rodadeconversaqueabordeaçõesrelacionadasaovalornutricionaldosalimentos,seguidapelaaplicaçãodeumaprova
   406→   406→objetivasobreosconceitosnecessáriosparaarealizaçãodessasações.
   407→   407→B exposiçãodebannersinformativosqueapresentemostiposdealimentosutilizadosnascomposteiras,seguidaporummapa
   408→   408→mentalsobreoreaproveitamentodaalimentaçãoescolar.
   409→   409→C debatequeabordeainsegurançaalimentarcombasenasreflexõesprovocadasaolongodoprojeto,seguidopelaprodução
   410→   410→deumartigodeopiniãoaserpublicadonojornaldaescola.
   411→   411→D questionárioacercadostiposdealimentosconsumidospelacomunidadeescolar,seguidopelamontagemdeumacomposteira
   412→   412→conformeorientaçõesdeummanualtécnico.
   413→   413→Árealivre
   414→   414→PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PMD2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025
   415→   415→12 FORMAÇÃOGERALDOCENTE
   416→   416→R02032025 - CIENCIAS_BIOLOGICAS.indb 12 21/08/2025 17:49:47
   417→   417→
   418→   418→--- Page 12 ---
   419→   419→2025
   420→   420→*R0203202513*
   421→   421→QUESTÃO22
   422→   422→Duranteumaaulaenvolvendooensinodehistóriaeculturaafro-brasileiraeafricananaEducaçãoBásica,ematendimentoao
   423→   423→dispostonaLein.10639/2003,umaprofessoraexplorouomovimentodocinemadepaísesafricanos,quetomoucorpoapartir
   424→   424→de1960,comoformadecomunicaçãoeinstrumentodeexpressãocultural.Elaexplicouque,nessecontexto,asproduções
   425→   425→audiovisuaiscontrapõem-seàsnarrativascoloniaisepropõemnovasformasderepresentarsuashistórias,suasculturase
   426→   426→suaslutas.Entusiasmadoscomotema,osestudantes,juntamentecomaprofessora,decidiramrealizarumamostradefilmes
   427→   427→produzidosempaísesafricanosparaserapresentadaàcomunidadeescolar.Aprofessoraorientouqueosestudantesdeveriam
   428→   428→selecionartrêsfilmes,combaseemcritériosrelevantesnacompreensãodovalordasculturasafricanas.
   429→   429→Considerandoosobjetivosprevistosnapropostadaprofessora,osestudantesdevemselecionarfilmesque
   430→   430→A retratemosespaçosfísicoseavidaanimalselvagemcomoelementoscaracterísticosdocontinenteafricano.
   431→   431→B produzamasensaçãodefamiliaridadenoespectadorcombasenasnarrativasaudiovisuaiseuropeiaseamericanas.
   432→   432→C reconhecemasvariadasformasdeexpressãodospovosafricanos,suassubjetividadesequestõessociaisassociadasaessespovos.
   433→   433→D apresentemestereótiposrelacionadosatemáticasdacolonizaçãoeseusimpactosnomododevidaurbanizadoempaísesafricanos.
   434→   434→QUESTÃO23
   435→   435→Justiçadeterminamelhoriasimediatasnasviasdeacessoe
   436→   436→naestruturadeescolasemassentamentos
   437→   437→EntreasprecariedadesidentificadaspeloMinistérioPúblicoFederal(MPF)estáodesgastedainfraestruturadosprédiosdas
   438→   438→escolascompisosdeareiaebarro.Osprofessoreseosestudantessãoorientadosafazeremasnecessidadesfisiológicasna
   439→   439→mataporquenãohábanheiro,nemrededeáguaoudeesgotamentosanitário.
   440→   440→Disponívelem:www.g1.globo.com.Acessoem:11maio2025(adaptado).
   441→   441→Diantedasituaçãoretratadanamatériajornalística,queaçãocompeteàescolaecontribuiparaoenfrentamentodessarealidade?
   442→   442→A Aelaboraçãodeumprojetocombaseemumdiagnósticosobreasituaçãodarededeáguaparasolucionaroproblema.
   443→   443→B Ainstalaçãomínimaderedesdeáguaedeesgotamentosanitárionasescolasparasuperarascondiçõesprecáriasdeinfraestrutura.
   444→   444→C Aarticulaçãodagestãoescolarcomasautoridadescompetentesembuscadeaçõesparamelhorarainfraestrutura.
   445→   445→D Aconvocaçãodacomunidadeescolarparaprocederàdespoluiçãodeumriodoentorno.
   446→   446→Árealivre
   447→   447→PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PMD2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025
   448→   448→FORMAÇÃOGERALDOCENTE 13
   449→   449→R02032025 - CIENCIAS_BIOLOGICAS.indb 13 21/08/2025 17:49:47
   450→   450→
   451→   451→--- Page 13 ---
   452→   452→2025
   453→   453→*R0203202514*
   454→   454→QUESTÃO24
   455→   455→Emumaescolalocalizadaemterritórioquilombola,asturmasdoEnsinoMédioestavamenvolvidascomafestividadedeSanto
   456→   456→Antônio,padroeirodacomunidade.UmprofessordeHistória,aproveitandoasituação,convidouprofessoresdeoutrasáreaspara
   457→   457→realizarematividadespedagógicassobrearepresentatividadedafestaparaoInventárioCulturalQuilombola.Comamobilização
   458→   458→dasáreas,foipropostaumareflexãosobreaautonomiaeaidentidadeescolarpresentesnoProjetoPolíticoPedagógicodaescola.
   459→   459→Combasenocenárioapresentado,umaintervençãodidáticaqueconsideraacolaboraçãoentreescolaecomunidadequilombola
   460→   460→éaquelaque
   461→   461→A realizaleiturasdetextossobreafestividadeparanormatizarsaberesnaescola.
   462→   462→B inserefestividadescontemporâneaspararenovarosprincípioseducativosdaescola.
   463→   463→C promoveatividadesparareconhecerritossignificativosparaacomunidadeduranteaorganizaçãodafesta.
   464→   464→D organizafeirascomprodutosindustrializadosparapossibilitaraintegraçãodacomunidadecomosespaçosurbanos.
   465→   465→QUESTÃO25
   466→   466→Emumaescoladaredepúblicamunicipal,aequipedeeducadoresestárevisandooProjetoPolíticoPedagógico(PPP)àluz
   467→   467→donovoreferencialcurriculardomunicípio,elaboradodeacordocomaBaseNacionalComumCurricular(BNCC).Duranteas
   468→   468→reuniões,surgemdiferentespercepçõesentreosprofessores:algunscompreendemqueessedocumentoapresentaumalistade
   469→   469→conteúdosobrigatóriosaseremcumpridos;eoutrosentendemqueeleorientaasdecisõesdidáticasquedeverãoseradaptadas,
   470→   470→considerandoocontextodaescolaeasnecessidadesdosestudantes.Diantedessaproblemática,acoordenadorapedagógica
   471→   471→apresentaaperspectivadocurrículomoldado,segundoareflexãodeGimenoSacristán(2000):“Ocurrículomoldadovaialém
   472→   472→docurrículoprescrito(normativo)edoapresentado(materiaisdidáticos),devendoserarticuladoeressignificadodeacordo
   473→   473→comosdiferentescomponentescurriculares,demodoaconvergirparaocontextolocaleregional”.
   474→   474→Diantedoexposto,aconcepçãocurricularapresentadapelacoordenadoraimplicaassumirocurrículocomo
   475→   475→A construçãosocialeoprofessorcomoagentemediadornodesenvolvimentocurricular.
   476→   476→B elementoneutroeoprofessorcomoagentecondutordosreferenciaiscurriculares.
   477→   477→C diretriznacionaleoprofessorcomoagenteexecutordocurrículoapresentado.
   478→   478→D produtoeoprofessorcomoagenteeducacionalnaapropriaçãocurricular.
   479→   479→Árealivre
   480→   480→PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PMD2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025PND2025
   481→   481→14 FORMAÇÃOGERALDOCENTE
   482→   482→R02032025 - CIENCIAS_BIOLOGICAS.indb 14 21/08/2025 17:49:47
   483→   483→
   484→   484→--- Page 14 ---
   485→   485→2025
   486→   486→*R0203202515*
   487→   487→QUESTÃO26
   488→   488→NaobraDocumentosdeidentidade:umaintroduçãoàsteoriasdecurrículo,TomazTadeudaSilvaargumentaqueasvertentes
   489→   489→teóricascríticaepós-críticadocurrículoemergemcomoreaçõesàslimitaçõesdateoriatradicional,queconcebeocurrículo
   490→   490→comoumconjuntoneutrodeconteúdosorganizadosparatransmissãodeconhecimentoemensuraçãododesempenho.
   491→   491→Ateoriacríticarecusaapretensaneutralidadedocurrículoeentendequeeleéatravessadoporrelaçõesdepoder.Exploraa
   492→   492→ideiadequeaescolapodereproduzirdesigualdades,mastambémpodecombatê-las.Valorizaaconscientizaçãodosestudantes
   493→   493→sobreosmecanismossociaisehistóricosqueestruturamessasdesigualdades.
   494→   494→A teoria pós-crítica, embora também rejeite o modelo tradicional, desloca a análise para a esfera discursiva e cultural,
   495→   495→questionando as verdades universais e focalizando a construção das identidades, das subjetividades e das diferenças.
   496→   496→Nessesentido,ocurrículoéumtextoculturalqueproduzsignificadossobreomundoeossujeitos.
   497→   497→Combasenoexposto,qualestratégiapedagógicadesenvolvidacomosestudantesestáalinhadaàteoriacríticadecurrículo?
   498→   498→A Pesquisadecampoediscussãosobreenfrentamentodosdiversostiposdeviolêncianoentornoescolar.
   499→   499→B ElaboraçãoderesumoeapresentaçãodesemináriossobredesigualdadeseconômicasnoBrasil.
   500→   500→C Leituradetextosinformativoseresoluçãodelistadeexercícioscombasenomaterialdidático.

[showing lines 1-500 of 580; use offset=501 with limit to continue reading]
